cnpj,razão social,Celular,Estado,quantidade de linhas,cidade,cep,endereço
97537367000180,L. DE C. ALMEIDA MEIRA LOCADORA - ME,15997522880,SP,39,ITAPEVA,18401630,R RUBEN ALVES JANEIRO
2163441000130,PANIFICADORA FERNANDES CRAVINHOS LTDA - ME,16997898346,SP,2,CRAVINHOS,14140000,R WENCESLAU BRAZ
2163441000130,PANIFICADORA FERNANDES CRAVINHOS LTDA - ME,16996054792,SP,2,CRAVINHOS,14140000,R WENCESLAU BRAZ
15112046000170,NUCLEO TELLECOM SOCIEDADE SIMPLES LIMITADA - ME,19992972098,SP,1,PIRACICABA,13411561,R CAROLINA VITTI STENICO 195
2465643000136,EDNA R. MANIAS & CIA LTDA,19981672442,SP,4,SOCORRO,13960000,R VOLUNTARTIOS DA PATRIA 379
2465643000136,EDNA R. MANIAS & CIA LTDA,19981672439,SP,4,SOCORRO,13960000,R VOLUNTARTIOS DA PATRIA 379
2465643000136,EDNA R. MANIAS & CIA LTDA,19981672278,SP,4,SOCORRO,13960000,R VOLUNTARTIOS DA PATRIA 379
2465643000136,EDNA R. MANIAS & CIA LTDA,19981672304,SP,4,SOCORRO,13960000,R VOLUNTARTIOS DA PATRIA 379
68079128000126,RONALDO JOSE PONTELLI SAO CARLOS ME,16997047738,SP,4,S CARLOS,13561270,R COMENDADOR ALFREDO MAFFEI 3971
68079128000126,RONALDO JOSE PONTELLI SAO CARLOS ME,16997781041,SP,4,S CARLOS,13561270,R COMENDADOR ALFREDO MAFFEI 3971
68079128000126,RONALDO JOSE PONTELLI SAO CARLOS ME,16997291023,SP,4,S CARLOS,13561270,R COMENDADOR ALFREDO MAFFEI 3971
68079128000126,RONALDO JOSE PONTELLI SAO CARLOS ME,16996125979,SP,4,S CARLOS,13561270,R COMENDADOR ALFREDO MAFFEI 3971
6951049000106,JOSE MAURO NUNES LIVRARIA,16997052953,SP,1,IBITINGA,14940000,R CECILIA CASEMIRO DE AMORIM 887 LJ 4
13502538000146,JOSE AUGUSTO CARDOSO DE MORAES 03615043812,19999667068,SP,1,ARTUR NOGUEIRA,13160000,R JOAO TEIXEIRA PINTO
16384909000120,BEM ESTAR RESIDENCIA GERIATRICA EIRELI,16996221740,SP,1,S CARLOS,13560001,"R 005, SN Q003 LT 006"
9622882000100,CRISTOVAO JOSE BEZERRA,16997906269,SP,1,S CARLOS,13560970,R ORESTES MASTROFRANCISCO
11747778000185,KALEB BRASIL INFORMATICA LTDA,19998355480,SP,7,VINHEDO,13280073,R SANTOS DUMONT
11747778000185,KALEB BRASIL INFORMATICA LTDA,19998362395,SP,7,VINHEDO,13280073,R SANTOS DUMONT
11747778000185,KALEB BRASIL INFORMATICA LTDA,19998362868,SP,7,VINHEDO,13280073,R SANTOS DUMONT
11747778000185,KALEB BRASIL INFORMATICA LTDA,19994463060,SP,7,VINHEDO,13280073,R SANTOS DUMONT
11747778000185,KALEB BRASIL INFORMATICA LTDA,19997977348,SP,7,VINHEDO,13280073,R SANTOS DUMONT
